Advent of Code - Day 07
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay07/input.txt
[926] 'JJJJJ' bid: 219, type: FiveOfAKind
[730] '25T52' bid: 450, type: TwoPair
[642] '23277' bid: 733, type: TwoPair
[534] '22AA9' bid: 959, type: TwoPair
[788] '22884' bid: 316, type: TwoPair
[38] '22838' bid: 638, type: TwoPair
[494] '22779' bid: 913, type: TwoPair
[75] '22344' bid: 201, type: TwoPair
[608] 'AAJ68' bid: 379, type: OnePair
[285] 'AA538' bid: 252, type: OnePair
[679] 'AK76K' bid: 255, type: OnePair
[182] 'AK484' bid: 953, type: OnePair
[232] 'AJA42' bid: 980, type: OnePair
[818] 'AJJ96' bid: 398, type: OnePair
[542] 'A9Q92' bid: 697, type: OnePair
[46] 'A8JAT' bid: 456, type: OnePair
[812] 'A88J9' bid: 552, type: OnePair
[681] 'A5T5K' bid: 6, type: OnePair
[804] 'A4A8K' bid: 83, type: OnePair
[205] 'A4JA6' bid: 460, type: OnePair
[843] 'A4452' bid: 420, type: OnePair
[553] 'A33KQ' bid: 119, type: OnePair
[602] 'A2797' bid: 383, type: OnePair
[323] 'A233T' bid: 633, type: OnePair
[985] 'KAATJ' bid: 118, type: OnePair
[902] 'KA772' bid: 701, type: OnePair
[325] 'KA2J2' bid: 534, type: OnePair
[583] 'KKT72' bid: 890, type: OnePair
[890] 'KK726' bid: 839, type: OnePair
[666] 'KJTK7' bid: 648, type: OnePair
[288] 'KJ95J' bid: 849, type: OnePair
[925] 'KJ2AK' bid: 493, type: OnePair
[138] 'KTKAJ' bid: 220, type: OnePair
[833] 'KTK95' bid: 307, type: OnePair
[636] 'KT97K' bid: 708, type: OnePair
[825] 'KT67K' bid: 989, type: OnePair
[952] 'K8584' bid: 803, type: OnePair
[500] 'K56AA' bid: 323, type: OnePair
[604] 'K4J99' bid: 63, type: OnePair
[4] 'K4457' bid: 924, type: OnePair
[673] 'K3K92' bid: 457, type: OnePair
[873] 'QA5Q6' bid: 429, type: OnePair
[958] 'QA36Q' bid: 502, type: OnePair
[169] 'QKTT3' bid: 718, type: OnePair
[277] 'QQ3K7' bid: 742, type: OnePair
[748] 'QJ7Q2' bid: 789, type: OnePair
[305] 'QJ63Q' bid: 895, type: OnePair
[955] 'Q96JJ' bid: 12, type: OnePair
[998] 'Q94A9' bid: 210, type: OnePair
[247] 'Q89AA' bid: 105, type: OnePair
[487] 'Q846Q' bid: 441, type: OnePair
[167] 'Q664J' bid: 17, type: OnePair
[244] 'Q5AA9' bid: 428, type: OnePair
[258] 'Q5K22' bid: 20, type: OnePair
[806] 'Q4JQK' bid: 123, type: OnePair
[396] 'Q3379' bid: 113, type: OnePair
[618] 'Q2QT5' bid: 24, type: OnePair
[155] 'Q23A3' bid: 27, type: OnePair
[152] 'JA884' bid: 411, type: OnePair
[242] 'JA5Q5' bid: 986, type: OnePair
[409] 'JKK73' bid: 855, type: OnePair
[165] 'JK833' bid: 600, type: OnePair
[528] 'JQK2Q' bid: 546, type: OnePair
[888] 'JQ92Q' bid: 152, type: OnePair
[79] 'JQ8Q3' bid: 78, type: OnePair
[611] 'JQ64J' bid: 806, type: OnePair
[106] 'JJQ23' bid: 651, type: OnePair
[210] 'JJ32A' bid: 222, type: OnePair
[639] 'JT757' bid: 596, type: OnePair
[975] 'JT3J8' bid: 692, type: OnePair
[314] 'J898Q' bid: 26, type: OnePair
[733] 'J868K' bid: 804, type: OnePair
[941] 'J8669' bid: 504, type: OnePair
[930] 'J7KAA' bid: 394, type: OnePair
[688] 'J766K' bid: 887, type: OnePair
[853] 'J5925' bid: 650, type: OnePair
[68] 'J4AA7' bid: 996, type: OnePair
[398] 'J49AA' bid: 709, type: OnePair
[388] 'J4667' bid: 829, type: OnePair
[999] 'J448A' bid: 903, type: OnePair
[783] 'J4324' bid: 175, type: OnePair
[596] 'J3A63' bid: 819, type: OnePair
[830] 'J2AQJ' bid: 100, type: OnePair
[855] 'J2TJQ' bid: 84, type: OnePair
[424] 'J29TJ' bid: 147, type: OnePair
[274] 'TAK5A' bid: 827, type: OnePair
[465] 'TA3J3' bid: 601, type: OnePair
[93] 'TKK82' bid: 658, type: OnePair
[633] 'TQA6T' bid: 293, type: OnePair
[415] 'TQT25' bid: 85, type: OnePair
[992] 'TJJ62' bid: 82, type: OnePair
[238] 'TT478' bid: 138, type: OnePair
[429] 'T8A2T' bid: 65, type: OnePair
[17] 'T89JJ' bid: 938, type: OnePair
[208] 'T88J7' bid: 480, type: OnePair
[363] 'T7742' bid: 967, type: OnePair
[157] 'T3JT4' bid: 494, type: OnePair
[361] 'T346T' bid: 920, type: OnePair
[599] '9A5J5' bid: 843, type: OnePair
[26] '9A4JJ' bid: 168, type: OnePair
[980] '9QJ5Q' bid: 768, type: OnePair
[625] '9JQ7Q' bid: 403, type: OnePair
[67] '9J55K' bid: 772, type: OnePair
[181] '9TJTA' bid: 738, type: OnePair
[852] '9TJT5' bid: 335, type: OnePair
[627] '9T2JT' bid: 489, type: OnePair
[757] '98628' bid: 619, type: OnePair
[163] '98386' bid: 791, type: OnePair
[719] '9739A' bid: 689, type: OnePair
[218] '96TJ6' bid: 130, type: OnePair
[432] '969J2' bid: 787, type: OnePair
[738] '9636K' bid: 560, type: OnePair
[294] '94J34' bid: 929, type: OnePair
[514] '9484J' bid: 212, type: OnePair
[654] '9363K' bid: 988, type: OnePair
[82] '922TA' bid: 495, type: OnePair
[284] '8A8T7' bid: 14, type: OnePair
[341] '8A244' bid: 828, type: OnePair
[895] '8KTK6' bid: 396, type: OnePair
[518] '8KT98' bid: 868, type: OnePair
[935] '8K4J4' bid: 780, type: OnePair
[658] '8J9K8' bid: 459, type: OnePair
[148] '8J798' bid: 191, type: OnePair
[763] '8J6JT' bid: 21, type: OnePair
[816] '8T9TJ' bid: 602, type: OnePair
[764] '8T468' bid: 203, type: OnePair
[347] '8986Q' bid: 905, type: OnePair
[377] '8949J' bid: 462, type: OnePair
[979] '88QJ3' bid: 237, type: OnePair
[713] '88Q74' bid: 854, type: OnePair
[120] '86JK6' bid: 431, type: OnePair
[111] '864A8' bid: 405, type: OnePair
[447] '8355T' bid: 378, type: OnePair
[845] '83362' bid: 872, type: OnePair
[680] '7A882' bid: 111, type: OnePair
[171] '7Q5JJ' bid: 209, type: OnePair
[533] '7JA73' bid: 221, type: OnePair
[723] '7JQQ6' bid: 664, type: OnePair
[204] '7JQ9J' bid: 62, type: OnePair
[139] '7J927' bid: 904, type: OnePair
[42] '7TQ78' bid: 214, type: OnePair
[369] '79554' bid: 767, type: OnePair
[535] '7929T' bid: 317, type: OnePair
[693] '787K2' bid: 436, type: OnePair
[335] '77Q69' bid: 740, type: OnePair
[112] '77Q38' bid: 269, type: OnePair
[592] '77JAT' bid: 215, type: OnePair
[404] '7696K' bid: 882, type: OnePair
[767] '75K7J' bid: 393, type: OnePair
[951] '75J3J' bid: 923, type: OnePair
[484] '74T48' bid: 248, type: OnePair
[472] '73A63' bid: 994, type: OnePair
[27] '72AQ7' bid: 308, type: OnePair
[420] '72899' bid: 193, type: OnePair
[862] '727TJ' bid: 75, type: OnePair
[792] '723A3' bid: 509, type: OnePair
[194] '6K96J' bid: 418, type: OnePair
[376] '6QKA6' bid: 635, type: OnePair
[874] '6QQK5' bid: 993, type: OnePair
[382] '6JK22' bid: 889, type: OnePair
[486] '6J9A6' bid: 661, type: OnePair
[25] '6J6KA' bid: 250, type: OnePair
[333] '6T6AK' bid: 589, type: OnePair
[805] '6T36J' bid: 983, type: OnePair
[195] '6T26Q' bid: 795, type: OnePair
[662] '69JQ6' bid: 328, type: OnePair
[269] '69353' bid: 581, type: OnePair
[319] '687J8' bid: 637, type: OnePair
[293] '68365' bid: 76, type: OnePair
[864] '677K5' bid: 879, type: OnePair
[749] '67228' bid: 453, type: OnePair
[84] '65T69' bid: 370, type: OnePair
[281] '655A3' bid: 536, type: OnePair
[188] '65268' bid: 225, type: OnePair
[327] '6376J' bid: 576, type: OnePair
[118] '5KAJJ' bid: 707, type: OnePair
[346] '5KK68' bid: 234, type: OnePair
[278] '5Q8JQ' bid: 833, type: OnePair
[246] '5Q6JQ' bid: 330, type: OnePair
[428] '5JKK9' bid: 816, type: OnePair
[731] '5JJKQ' bid: 390, type: OnePair
[149] '5J866' bid: 132, type: OnePair
[412] '595J3' bid: 180, type: OnePair
[307] '584K4' bid: 896, type: OnePair
[652] '57A73' bid: 861, type: OnePair
[997] '57866' bid: 537, type: OnePair
[784] '56TKK' bid: 343, type: OnePair
[133] '552Q4' bid: 246, type: OnePair
[170] '54TJ4' bid: 479, type: OnePair
[202] '5456J' bid: 87, type: OnePair
[358] '4KK76' bid: 358, type: OnePair
[310] '4K942' bid: 652, type: OnePair
[166] '4K43A' bid: 455, type: OnePair
[282] '4QJ24' bid: 331, type: OnePair
[744] '4J686' bid: 421, type: OnePair
[610] '4J557' bid: 975, type: OnePair
[69] '4J252' bid: 954, type: OnePair
[758] '4TT2Q' bid: 646, type: OnePair
[623] '48543' bid: 743, type: OnePair
[957] '48285' bid: 172, type: OnePair
[413] '47886' bid: 580, type: OnePair
[21] '4734Q' bid: 454, type: OnePair
[127] '46J74' bid: 380, type: OnePair
[109] '458KK' bid: 350, type: OnePair
[685] '44T29' bid: 892, type: OnePair
[259] '445K3' bid: 945, type: OnePair
[892] '4456Q' bid: 911, type: OnePair
[811] '42AJJ' bid: 873, type: OnePair
[48] '42T92' bid: 732, type: OnePair
[579] '423Q2' bid: 769, type: OnePair
[451] '3A878' bid: 762, type: OnePair
[746] '3KQJ3' bid: 482, type: OnePair
[949] '3Q63J' bid: 224, type: OnePair
[263] '3J822' bid: 134, type: OnePair
[543] '3TT6Q' bid: 107, type: OnePair
[901] '3T87T' bid: 218, type: OnePair
[497] '39866' bid: 434, type: OnePair
[547] '384T4' bid: 294, type: OnePair
[464] '37329' bid: 295, type: OnePair
[476] '35K38' bid: 763, type: OnePair
[793] '3558J' bid: 908, type: OnePair
[134] '343K8' bid: 624, type: OnePair
[215] '33TQ5' bid: 934, type: OnePair
[616] '332A6' bid: 423, type: OnePair
[632] '32Q3J' bid: 300, type: OnePair
[455] '2A7A5' bid: 807, type: OnePair
[554] '2K72A' bid: 468, type: OnePair
[227] '2K24Q' bid: 301, type: OnePair
[762] '2Q729' bid: 591, type: OnePair
[164] '2Q644' bid: 232, type: OnePair
[548] '2Q2JK' bid: 874, type: OnePair
[114] '2Q28K' bid: 361, type: OnePair
[932] '2J72Q' bid: 847, type: OnePair
[368] '2TJ2A' bid: 92, type: OnePair
[872] '2TT37' bid: 344, type: OnePair
[946] '2T5T7' bid: 286, type: OnePair
[648] '29A49' bid: 486, type: OnePair
[460] '28K55' bid: 270, type: OnePair
[990] '26A5A' bid: 662, type: OnePair
[122] '23A62' bid: 266, type: OnePair
[15] '23J5J' bid: 148, type: OnePair
[59] '223K8' bid: 181, type: OnePair
[286] 'AK72Q' bid: 42, type: HighCard
[962] 'AK562' bid: 510, type: HighCard
[659] 'AQT54' bid: 972, type: HighCard
[489] 'AQ746' bid: 371, type: HighCard
[915] 'AT895' bid: 369, type: HighCard
[313] 'AT382' bid: 749, type: HighCard
[626] 'A9Q47' bid: 352, type: HighCard
[860] 'A82J9' bid: 775, type: HighCard
[349] 'A7JQ9' bid: 925, type: HighCard
[365] 'A6K32' bid: 926, type: HighCard
[856] 'A67TQ' bid: 990, type: HighCard
[530] 'A65KT' bid: 410, type: HighCard
[296] 'A63Q7' bid: 287, type: HighCard
[982] 'A53K4' bid: 506, type: HighCard
[620] 'A3QJ9' bid: 688, type: HighCard
[879] 'A2TJ4' bid: 846, type: HighCard
[586] 'A295J' bid: 700, type: HighCard
[751] 'A284J' bid: 713, type: HighCard
[505] 'A2637' bid: 503, type: HighCard
[121] 'KA89J' bid: 754, type: HighCard
[996] 'KQJ53' bid: 367, type: HighCard
[987] 'KQJ43' bid: 792, type: HighCard
[352] 'KQ436' bid: 263, type: HighCard
[88] 'KJ785' bid: 668, type: HighCard
[759] 'KJ582' bid: 551, type: HighCard
[791] 'KT89A' bid: 271, type: HighCard
[209] 'K9Q34' bid: 292, type: HighCard
[217] 'K956A' bid: 223, type: HighCard
[436] 'K94QJ' bid: 505, type: HighCard
[99] 'K8A4Q' bid: 659, type: HighCard
[826] 'K7A3J' bid: 825, type: HighCard
[950] 'K7J84' bid: 128, type: HighCard
[329] 'K653J' bid: 728, type: HighCard
[156] 'K642A' bid: 16, type: HighCard
[351] 'K478Q' bid: 917, type: HighCard
[956] 'K3T7J' bid: 741, type: HighCard
[734] 'K3T75' bid: 368, type: HighCard
[672] 'K2T54' bid: 229, type: HighCard
[176] 'K2458' bid: 22, type: HighCard
[790] 'QAK45' bid: 365, type: HighCard
[391] 'QAJT9' bid: 606, type: HighCard
[988] 'QA873' bid: 435, type: HighCard
[207] 'QA3JT' bid: 974, type: HighCard
[6] 'QJK32' bid: 349, type: HighCard
[434] 'QJ927' bid: 154, type: HighCard
[972] 'QJ83A' bid: 897, type: HighCard
[590] 'Q9685' bid: 80, type: HighCard
[160] 'Q7394' bid: 517, type: HighCard
[502] 'Q635A' bid: 561, type: HighCard
[479] 'Q5624' bid: 41, type: HighCard
[41] 'Q3T45' bid: 675, type: HighCard
[538] 'Q3648' bid: 36, type: HighCard
[694] 'Q3592' bid: 649, type: HighCard
[66] 'Q2TA7' bid: 513, type: HighCard
[23] 'Q2486' bid: 814, type: HighCard
[267] 'JA3T5' bid: 781, type: HighCard
[85] 'JT4QA' bid: 409, type: HighCard
[606] 'J9TK2' bid: 737, type: HighCard
[255] 'J9568' bid: 735, type: HighCard
[910] 'J8AK3' bid: 161, type: HighCard
[76] 'J6K8Q' bid: 329, type: HighCard
[220] 'J39Q5' bid: 544, type: HighCard
[97] 'J39T6' bid: 669, type: HighCard
[537] 'J3892' bid: 550, type: HighCard
[123] 'J2QK6' bid: 433, type: HighCard
[401] 'J259T' bid: 927, type: HighCard
[844] 'TAJK4' bid: 852, type: HighCard
[211] 'TAJ7K' bid: 68, type: HighCard
[467] 'TKQJ7' bid: 678, type: HighCard
[803] 'TK6Q9' bid: 801, type: HighCard
[698] 'TQ94K' bid: 991, type: HighCard
[343] 'TQ623' bid: 427, type: HighCard
[28] 'TJ486' bid: 320, type: HighCard
[454] 'T9346' bid: 356, type: HighCard
[649] 'T82J9' bid: 291, type: HighCard
[564] 'T7Q85' bid: 862, type: HighCard
[737] 'T743K' bid: 417, type: HighCard
[937] 'T6789' bid: 886, type: HighCard
[174] 'T658J' bid: 414, type: HighCard
[306] 'T5KQ8' bid: 745, type: HighCard
[847] 'T45Q8' bid: 306, type: HighCard
[379] 'T3A89' bid: 625, type: HighCard
[116] 'T3K95' bid: 614, type: HighCard
[146] 'T3K48' bid: 288, type: HighCard
[887] 'T397K' bid: 217, type: HighCard
[527] 'T378Q' bid: 156, type: HighCard
[600] 'T29Q8' bid: 753, type: HighCard
[102] 'T28AK' bid: 706, type: HighCard
[78] 'T25K6' bid: 106, type: HighCard
[690] '9A624' bid: 611, type: HighCard
[270] '9A425' bid: 952, type: HighCard
[410] '9Q58A' bid: 366, type: HighCard
[198] '9J46Q' bid: 786, type: HighCard
[908] '9TJ3K' bid: 386, type: HighCard
[236] '9T78J' bid: 355, type: HighCard
[747] '98QTA' bid: 184, type: HighCard
[576] '97J8Q' bid: 593, type: HighCard
[865] '97345' bid: 947, type: HighCard
[785] '958AK' bid: 230, type: HighCard
[912] '9573K' bid: 674, type: HighCard
[344] '9536K' bid: 630, type: HighCard
[506] '8AT6K' bid: 382, type: HighCard
[643] '8A3QK' bid: 812, type: HighCard
[732] '8K9J6' bid: 160, type: HighCard
[861] '897J4' bid: 730, type: HighCard
[854] '89763' bid: 823, type: HighCard
[931] '893K7' bid: 253, type: HighCard
[143] '87524' bid: 98, type: HighCard
[237] '86A74' bid: 723, type: HighCard
[634] '854J9' bid: 348, type: HighCard
[110] '8534K' bid: 693, type: HighCard
[678] '8473A' bid: 627, type: HighCard
[482] '83A64' bid: 653, type: HighCard
[760] '827T9' bid: 583, type: HighCard
[917] '7AT9J' bid: 354, type: HighCard
[332] '7KAQ5' bid: 724, type: HighCard
[206] '7KQ8T' bid: 888, type: HighCard
[203] '7QJ3T' bid: 319, type: HighCard
[808] '7T426' bid: 127, type: HighCard
[443] '79236' bid: 830, type: HighCard
[456] '7856A' bid: 186, type: HighCard
[594] '76K4T' bid: 360, type: HighCard
[614] '76Q39' bid: 698, type: HighCard
[709] '7692Q' bid: 516, type: HighCard
[968] '72JAQ' bid: 573, type: HighCard
[691] '728JQ' bid: 236, type: HighCard
[777] '72543' bid: 487, type: HighCard
[823] '6A93Q' bid: 901, type: HighCard
[524] '6KT75' bid: 474, type: HighCard
[40] '6K58A' bid: 783, type: HighCard
[55] '6T5JK' bid: 419, type: HighCard
[291] '697A4' bid: 438, type: HighCard
[141] '682AJ' bid: 765, type: HighCard
[158] '67AJ4' bid: 281, type: HighCard
[200] '67Q25' bid: 374, type: HighCard
[511] '6743A' bid: 376, type: HighCard
[462] '67324' bid: 643, type: HighCard
[994] '65T2J' bid: 607, type: HighCard
[653] '657T9' bid: 797, type: HighCard
[485] '649KQ' bid: 702, type: HighCard
[241] '63J2A' bid: 647, type: HighCard
[665] '63954' bid: 496, type: HighCard
[62] '637AT' bid: 109, type: HighCard
[440] '63582' bid: 511, type: HighCard
[769] '5KT69' bid: 447, type: HighCard
[782] '5K4Q9' bid: 43, type: HighCard
[549] '5T78K' bid: 129, type: HighCard
[539] '598K2' bid: 277, type: HighCard
[425] '59628' bid: 777, type: HighCard
[279] '57AQ4' bid: 880, type: HighCard
[226] '574T8' bid: 811, type: HighCard
[974] '56T28' bid: 752, type: HighCard
[212] '564KJ' bid: 158, type: HighCard
[896] '54387' bid: 939, type: HighCard
[457] '53J2Q' bid: 25, type: HighCard
[90] '5376K' bid: 671, type: HighCard
[525] '53462' bid: 46, type: HighCard
[239] '4AQ9T' bid: 522, type: HighCard
[822] '4KA6T' bid: 526, type: HighCard
[359] '4QAT3' bid: 655, type: HighCard
[711] '4Q835' bid: 50, type: HighCard
[115] '4J86Q' bid: 540, type: HighCard
[531] '4J7A3' bid: 884, type: HighCard
[857] '4T9QJ' bid: 876, type: HighCard
[370] '4T8J3' bid: 907, type: HighCard
[839] '49QK8' bid: 853, type: HighCard
[354] '496TJ' bid: 571, type: HighCard
[32] '4836J' bid: 588, type: HighCard
[407] '47J56' bid: 258, type: HighCard
[199] '4736K' bid: 59, type: HighCard
[717] '436AJ' bid: 639, type: HighCard
[842] '3Q64T' bid: 615, type: HighCard
[603] '3J786' bid: 521, type: HighCard
[800] '3T7Q4' bid: 240, type: HighCard
[184] '395KQ' bid: 1, type: HighCard
[418] '39427' bid: 694, type: HighCard
[593] '3857Q' bid: 520, type: HighCard
[667] '37A85' bid: 142, type: HighCard
[261] '36AKT' bid: 616, type: HighCard
[89] '36J58' bid: 935, type: HighCard
[572] '3694A' bid: 523, type: HighCard
[886] '35TQA' bid: 81, type: HighCard
[280] '352Q4' bid: 640, type: HighCard
[660] '3465T' bid: 377, type: HighCard
[334] '3452K' bid: 452, type: HighCard
[245] '2K6Q8' bid: 793, type: HighCard
[545] '2QJAK' bid: 124, type: HighCard
[799] '2QJ39' bid: 15, type: HighCard
[271] '2Q83T' bid: 963, type: HighCard
[970] '2TQA5' bid: 535, type: HighCard
[130] '2T43Q' bid: 45, type: HighCard
[753] '29TA7' bid: 347, type: HighCard
[385] '27TQ8' bid: 5, type: HighCard
[571] '2693A' bid: 800, type: HighCard
[405] '26578' bid: 10, type: HighCard
[668] '264A7' bid: 341, type: HighCard
[186] '249K8' bid: 612, type: HighCard
[161] '23K47' bid: 759, type: HighCard
[671] '237AQ' bid: 157, type: HighCard
result: 246912307
Elapsed time: 0.060000 seconds
