Advent of Code - Day 07
Opening file C:/Users/aforgiel/source/repos/AdventOfCode2023/AdventOfCodeDay07/input.txt
[0959] 'AAAAJ' bid: 594, type: FiveOfAKind
[0733] 'J868K' bid: 804, type: ThreeOfAKind
[0941] 'J8669' bid: 504, type: ThreeOfAKind
[0930] 'J7KAA' bid: 394, type: ThreeOfAKind
[0688] 'J766K' bid: 887, type: ThreeOfAKind
[0853] 'J5925' bid: 650, type: ThreeOfAKind
[0068] 'J4AA7' bid: 996, type: ThreeOfAKind
[0398] 'J49AA' bid: 709, type: ThreeOfAKind
[0388] 'J4667' bid: 829, type: ThreeOfAKind
[0999] 'J448A' bid: 903, type: ThreeOfAKind
[0783] 'J4324' bid: 175, type: ThreeOfAKind
[0596] 'J3A63' bid: 819, type: ThreeOfAKind
[0830] 'J2AQJ' bid: 100, type: ThreeOfAKind
[0855] 'J2TJQ' bid: 084, type: ThreeOfAKind
[0424] 'J29TJ' bid: 147, type: ThreeOfAKind
[0106] 'JJQ23' bid: 651, type: ThreeOfAKind
[0210] 'JJ32A' bid: 222, type: ThreeOfAKind
[0575] 'AAKK9' bid: 481, type: TwoPair
[0144] 'AAT9T' bid: 809, type: TwoPair
[0727] 'AA88Q' bid: 338, type: TwoPair
[0773] 'AQA33' bid: 044, type: TwoPair
[0136] 'A8ATT' bid: 514, type: TwoPair
[0180] 'A84A8' bid: 610, type: TwoPair
[0001] 'A833A' bid: 309, type: TwoPair
[0736] 'A7A72' bid: 714, type: TwoPair
[0275] 'A5AK5' bid: 539, type: TwoPair
[0221] 'A5ATT' bid: 670, type: TwoPair
[0963] 'A33TA' bid: 406, type: TwoPair
[0233] 'A2A72' bid: 951, type: TwoPair
[0570] 'A2A26' bid: 315, type: TwoPair
[0342] 'KAK3A' bid: 273, type: TwoPair
[0947] 'KA9K9' bid: 497, type: TwoPair
[0126] 'KKTT7' bid: 758, type: TwoPair
[0582] 'KK393' bid: 190, type: TwoPair
[0612] 'KTK6T' bid: 760, type: TwoPair
[0272] 'K989K' bid: 345, type: TwoPair
[0260] 'K8228' bid: 449, type: TwoPair
[0322] 'K6AKA' bid: 712, type: TwoPair
[0702] 'K63K6' bid: 397, type: TwoPair
[0989] 'K5665' bid: 008, type: TwoPair
[0798] 'K5445' bid: 261, type: TwoPair
[0128] 'K4A4A' bid: 958, type: TwoPair
[0478] 'K44K9' bid: 018, type: TwoPair
[0101] 'QQ969' bid: 093, type: TwoPair
[0824] 'QQ788' bid: 870, type: TwoPair
[0615] 'QQ668' bid: 841, type: TwoPair
[0446] 'QQ277' bid: 739, type: TwoPair
[0771] 'QT4QT' bid: 586, type: TwoPair
[0661] 'QT3QT' bid: 622, type: TwoPair
[0356] 'Q9AAQ' bid: 617, type: TwoPair
[0882] 'Q838Q' bid: 631, type: TwoPair
[0383] 'Q77AA' bid: 995, type: TwoPair
[0831] 'Q6767' bid: 838, type: TwoPair
[0422] 'Q66TQ' bid: 037, type: TwoPair
[0033] 'Q6565' bid: 943, type: TwoPair
[0050] 'Q5QT5' bid: 169, type: TwoPair
[0065] 'Q4K4K' bid: 826, type: TwoPair
[0320] 'Q44QT' bid: 102, type: TwoPair
[0074] 'Q3A3Q' bid: 373, type: TwoPair
[0045] 'Q3QAA' bid: 999, type: TwoPair
[0005] 'Q3QT3' bid: 011, type: TwoPair
[0054] 'Q355Q' bid: 069, type: TwoPair
[0814] 'Q3232' bid: 941, type: TwoPair
[0566] 'Q2626' bid: 554, type: TwoPair
[0452] 'Q255Q' bid: 259, type: TwoPair
[0197] 'TAT66' bid: 251, type: TwoPair
[0546] 'TQ2TQ' bid: 960, type: TwoPair
[0631] 'TTQ77' bid: 256, type: TwoPair
[0228] 'T2Q2Q' bid: 153, type: TwoPair
[0628] 'T232T' bid: 053, type: TwoPair
[0450] '9AT9T' bid: 392, type: TwoPair
[0459] '9K97K' bid: 605, type: TwoPair
[0276] '99KTT' bid: 736, type: TwoPair
[0196] '99833' bid: 881, type: TwoPair
[0316] '99525' bid: 779, type: TwoPair
[0044] '98944' bid: 375, type: TwoPair
[0029] '97397' bid: 121, type: TwoPair
[0905] '96694' bid: 402, type: TwoPair
[0007] '96659' bid: 162, type: TwoPair
[0008] '955A9' bid: 851, type: TwoPair
[0561] '955QQ' bid: 206, type: TwoPair
[0475] '95395' bid: 891, type: TwoPair
[0669] '94469' bid: 859, type: TwoPair
[0945] '94349' bid: 054, type: TwoPair
[0708] '93366' bid: 326, type: TwoPair
[0689] '92629' bid: 893, type: TwoPair
[0328] '922QQ' bid: 324, type: TwoPair
[0774] '8Q8QK' bid: 878, type: TwoPair
[0140] '899QQ' bid: 531, type: TwoPair
[0250] '89595' bid: 334, type: TwoPair
[0481] '885KK' bid: 115, type: TwoPair
[0216] '8778A' bid: 280, type: TwoPair
[0366] '8778Q' bid: 244, type: TwoPair
[0147] '86T68' bid: 077, type: TwoPair
[0807] '868KK' bid: 325, type: TwoPair
[0345] '8585Q' bid: 916, type: TwoPair
[0517] '84A84' bid: 946, type: TwoPair
[0350] '83T38' bid: 987, type: TwoPair
[0442] '82827' bid: 139, type: TwoPair
[0249] '7A75A' bid: 192, type: TwoPair
[0510] '7KK55' bid: 582, type: TwoPair
[0877] '7K7KA' bid: 004, type: TwoPair
[0884] '7QQ97' bid: 910, type: TwoPair
[0644] '79947' bid: 869, type: TwoPair
[0154] '77646' bid: 155, type: TwoPair
[0834] '774AA' bid: 388, type: TwoPair
[0699] '75275' bid: 304, type: TwoPair
[0929] '73766' bid: 799, type: TwoPair
[0787] '6ATTA' bid: 279, type: TwoPair
[0433] '6QK6Q' bid: 284, type: TwoPair
[0676] '6QQ62' bid: 656, type: TwoPair
[0565] '69963' bid: 086, type: TwoPair
[0011] '67A7A' bid: 978, type: TwoPair
[0495] '66TT7' bid: 634, type: TwoPair
[0819] '669TT' bid: 208, type: TwoPair
[0355] '6644K' bid: 485, type: TwoPair
[0973] '66282' bid: 272, type: TwoPair
[0201] '65K5K' bid: 734, type: TwoPair
[0441] '65568' bid: 238, type: TwoPair
[0262] '63Q63' bid: 909, type: TwoPair
[0098] '5QQ88' bid: 956, type: TwoPair
[0108] '5TT99' bid: 337, type: TwoPair
[0841] '59KK5' bid: 817, type: TwoPair
[0073] '588A5' bid: 483, type: TwoPair
[0961] '57A75' bid: 194, type: TwoPair
[0883] '56TT6' bid: 478, type: TwoPair
[0541] '55779' bid: 302, type: TwoPair
[0421] '54KK5' bid: 621, type: TwoPair
[0371] '52665' bid: 798, type: TwoPair
[0840] '52454' bid: 211, type: TwoPair
[0064] '4AAQ4' bid: 532, type: TwoPair
[0829] '4AA74' bid: 860, type: TwoPair
[0597] '4Q43Q' bid: 048, type: TwoPair
[0923] '4T49T' bid: 756, type: TwoPair
[0468] '49898' bid: 746, type: TwoPair
[0030] '48334' bid: 748, type: TwoPair
[0439] '464Q6' bid: 268, type: TwoPair
[0254] '44QTT' bid: 073, type: TwoPair
[0057] '44229' bid: 848, type: TwoPair
[0942] '3A883' bid: 346, type: TwoPair
[0686] '3A39A' bid: 587, type: TwoPair
[0562] '3434K' bid: 216, type: TwoPair
[0780] '33KAK' bid: 645, type: TwoPair
[0491] '33799' bid: 071, type: TwoPair
[0706] '3232T' bid: 912, type: TwoPair
[0132] '32237' bid: 164, type: TwoPair
[0697] '2AQ2A' bid: 628, type: TwoPair
[0339] '2QKQ2' bid: 108, type: TwoPair
[0670] '2TT77' bid: 464, type: TwoPair
[0521] '29Q92' bid: 788, type: TwoPair
[0113] '28682' bid: 332, type: TwoPair
[0219] '27267' bid: 644, type: TwoPair
[0638] '26269' bid: 902, type: TwoPair
[0730] '25T52' bid: 450, type: TwoPair
[0642] '23277' bid: 733, type: TwoPair
[0534] '22AA9' bid: 959, type: TwoPair
[0788] '22884' bid: 316, type: TwoPair
[0038] '22838' bid: 638, type: TwoPair
[0494] '22779' bid: 913, type: TwoPair
[0075] '22344' bid: 201, type: TwoPair
[0285] 'AA538' bid: 252, type: OnePair
[0679] 'AK76K' bid: 255, type: OnePair
[0182] 'AK484' bid: 953, type: OnePair
[0542] 'A9Q92' bid: 697, type: OnePair
[0860] 'A82J9' bid: 775, type: OnePair
[0349] 'A7JQ9' bid: 925, type: OnePair
[0681] 'A5T5K' bid: 006, type: OnePair
[0804] 'A4A8K' bid: 083, type: OnePair
[0843] 'A4452' bid: 420, type: OnePair
[0620] 'A3QJ9' bid: 688, type: OnePair
[0553] 'A33KQ' bid: 119, type: OnePair
[0879] 'A2TJ4' bid: 846, type: OnePair
[0586] 'A295J' bid: 700, type: OnePair
[0751] 'A284J' bid: 713, type: OnePair
[0602] 'A2797' bid: 383, type: OnePair
[0323] 'A233T' bid: 633, type: OnePair
[0121] 'KA89J' bid: 754, type: OnePair
[0902] 'KA772' bid: 701, type: OnePair
[0583] 'KKT72' bid: 890, type: OnePair
[0890] 'KK726' bid: 839, type: OnePair
[0996] 'KQJ53' bid: 367, type: OnePair
[0987] 'KQJ43' bid: 792, type: OnePair
[0833] 'KTK95' bid: 307, type: OnePair
[0636] 'KT97K' bid: 708, type: OnePair
[0825] 'KT67K' bid: 989, type: OnePair
[0436] 'K94QJ' bid: 505, type: OnePair
[0952] 'K8584' bid: 803, type: OnePair
[0826] 'K7A3J' bid: 825, type: OnePair
[0950] 'K7J84' bid: 128, type: OnePair
[0329] 'K653J' bid: 728, type: OnePair
[0500] 'K56AA' bid: 323, type: OnePair
[0004] 'K4457' bid: 924, type: OnePair
[0673] 'K3K92' bid: 457, type: OnePair
[0956] 'K3T7J' bid: 741, type: OnePair
[0088] 'KJ785' bid: 668, type: OnePair
[0759] 'KJ582' bid: 551, type: OnePair
[0873] 'QA5Q6' bid: 429, type: OnePair
[0958] 'QA36Q' bid: 502, type: OnePair
[0207] 'QA3JT' bid: 974, type: OnePair
[0391] 'QAJT9' bid: 606, type: OnePair
[0169] 'QKTT3' bid: 718, type: OnePair
[0277] 'QQ3K7' bid: 742, type: OnePair
[0998] 'Q94A9' bid: 210, type: OnePair
[0247] 'Q89AA' bid: 105, type: OnePair
[0487] 'Q846Q' bid: 441, type: OnePair
[0244] 'Q5AA9' bid: 428, type: OnePair
[0258] 'Q5K22' bid: 020, type: OnePair
[0396] 'Q3379' bid: 113, type: OnePair
[0618] 'Q2QT5' bid: 024, type: OnePair
[0155] 'Q23A3' bid: 027, type: OnePair
[0006] 'QJK32' bid: 349, type: OnePair
[0434] 'QJ927' bid: 154, type: OnePair
[0972] 'QJ83A' bid: 897, type: OnePair
[0274] 'TAK5A' bid: 827, type: OnePair
[0844] 'TAJK4' bid: 852, type: OnePair
[0211] 'TAJ7K' bid: 068, type: OnePair
[0093] 'TKK82' bid: 658, type: OnePair
[0467] 'TKQJ7' bid: 678, type: OnePair
[0633] 'TQA6T' bid: 293, type: OnePair
[0415] 'TQT25' bid: 085, type: OnePair
[0238] 'TT478' bid: 138, type: OnePair
[0429] 'T8A2T' bid: 065, type: OnePair
[0649] 'T82J9' bid: 291, type: OnePair
[0363] 'T7742' bid: 967, type: OnePair
[0174] 'T658J' bid: 414, type: OnePair
[0361] 'T346T' bid: 920, type: OnePair
[0028] 'TJ486' bid: 320, type: OnePair
[0236] '9T78J' bid: 355, type: OnePair
[0908] '9TJ3K' bid: 386, type: OnePair
[0757] '98628' bid: 619, type: OnePair
[0163] '98386' bid: 791, type: OnePair
[0719] '9739A' bid: 689, type: OnePair
[0576] '97J8Q' bid: 593, type: OnePair
[0738] '9636K' bid: 560, type: OnePair
[0654] '9363K' bid: 988, type: OnePair
[0082] '922TA' bid: 495, type: OnePair
[0198] '9J46Q' bid: 786, type: OnePair
[0284] '8A8T7' bid: 014, type: OnePair
[0341] '8A244' bid: 828, type: OnePair
[0895] '8KTK6' bid: 396, type: OnePair
[0518] '8KT98' bid: 868, type: OnePair
[0732] '8K9J6' bid: 160, type: OnePair
[0764] '8T468' bid: 203, type: OnePair
[0347] '8986Q' bid: 905, type: OnePair
[0861] '897J4' bid: 730, type: OnePair
[0713] '88Q74' bid: 854, type: OnePair
[0111] '864A8' bid: 405, type: OnePair
[0634] '854J9' bid: 348, type: OnePair
[0447] '8355T' bid: 378, type: OnePair
[0845] '83362' bid: 872, type: OnePair
[0917] '7AT9J' bid: 354, type: OnePair
[0680] '7A882' bid: 111, type: OnePair
[0203] '7QJ3T' bid: 319, type: OnePair
[0042] '7TQ78' bid: 214, type: OnePair
[0369] '79554' bid: 767, type: OnePair
[0535] '7929T' bid: 317, type: OnePair
[0693] '787K2' bid: 436, type: OnePair
[0335] '77Q69' bid: 740, type: OnePair
[0112] '77Q38' bid: 269, type: OnePair
[0404] '7696K' bid: 882, type: OnePair
[0484] '74T48' bid: 248, type: OnePair
[0472] '73A63' bid: 994, type: OnePair
[0027] '72AQ7' bid: 308, type: OnePair
[0420] '72899' bid: 193, type: OnePair
[0691] '728JQ' bid: 236, type: OnePair
[0792] '723A3' bid: 509, type: OnePair
[0968] '72JAQ' bid: 573, type: OnePair
[0376] '6QKA6' bid: 635, type: OnePair
[0874] '6QQK5' bid: 993, type: OnePair
[0333] '6T6AK' bid: 589, type: OnePair
[0055] '6T5JK' bid: 419, type: OnePair
[0195] '6T26Q' bid: 795, type: OnePair
[0269] '69353' bid: 581, type: OnePair
[0293] '68365' bid: 076, type: OnePair
[0141] '682AJ' bid: 765, type: OnePair
[0158] '67AJ4' bid: 281, type: OnePair
[0864] '677K5' bid: 879, type: OnePair
[0749] '67228' bid: 453, type: OnePair
[0084] '65T69' bid: 370, type: OnePair
[0994] '65T2J' bid: 607, type: OnePair
[0281] '655A3' bid: 536, type: OnePair
[0188] '65268' bid: 225, type: OnePair
[0241] '63J2A' bid: 647, type: OnePair
[0346] '5KK68' bid: 234, type: OnePair
[0307] '584K4' bid: 896, type: OnePair
[0652] '57A73' bid: 861, type: OnePair
[0997] '57866' bid: 537, type: OnePair
[0784] '56TKK' bid: 343, type: OnePair
[0212] '564KJ' bid: 158, type: OnePair
[0133] '552Q4' bid: 246, type: OnePair
[0457] '53J2Q' bid: 025, type: OnePair
[0358] '4KK76' bid: 358, type: OnePair
[0310] '4K942' bid: 652, type: OnePair
[0166] '4K43A' bid: 455, type: OnePair
[0758] '4TT2Q' bid: 646, type: OnePair
[0857] '4T9QJ' bid: 876, type: OnePair
[0370] '4T8J3' bid: 907, type: OnePair
[0354] '496TJ' bid: 571, type: OnePair
[0623] '48543' bid: 743, type: OnePair
[0032] '4836J' bid: 588, type: OnePair
[0957] '48285' bid: 172, type: OnePair
[0413] '47886' bid: 580, type: OnePair
[0021] '4734Q' bid: 454, type: OnePair
[0407] '47J56' bid: 258, type: OnePair
[0109] '458KK' bid: 350, type: OnePair
[0685] '44T29' bid: 892, type: OnePair
[0259] '445K3' bid: 945, type: OnePair
[0892] '4456Q' bid: 911, type: OnePair
[0717] '436AJ' bid: 639, type: OnePair
[0048] '42T92' bid: 732, type: OnePair
[0579] '423Q2' bid: 769, type: OnePair
[0115] '4J86Q' bid: 540, type: OnePair
[0531] '4J7A3' bid: 884, type: OnePair
[0451] '3A878' bid: 762, type: OnePair
[0543] '3TT6Q' bid: 107, type: OnePair
[0901] '3T87T' bid: 218, type: OnePair
[0497] '39866' bid: 434, type: OnePair
[0547] '384T4' bid: 294, type: OnePair
[0464] '37329' bid: 295, type: OnePair
[0089] '36J58' bid: 935, type: OnePair
[0476] '35K38' bid: 763, type: OnePair
[0134] '343K8' bid: 624, type: OnePair
[0215] '33TQ5' bid: 934, type: OnePair
[0616] '332A6' bid: 423, type: OnePair
[0603] '3J786' bid: 521, type: OnePair
[0455] '2A7A5' bid: 807, type: OnePair
[0554] '2K72A' bid: 468, type: OnePair
[0227] '2K24Q' bid: 301, type: OnePair
[0762] '2Q729' bid: 591, type: OnePair
[0164] '2Q644' bid: 232, type: OnePair
[0114] '2Q28K' bid: 361, type: OnePair
[0545] '2QJAK' bid: 124, type: OnePair
[0799] '2QJ39' bid: 015, type: OnePair
[0872] '2TT37' bid: 344, type: OnePair
[0946] '2T5T7' bid: 286, type: OnePair
[0648] '29A49' bid: 486, type: OnePair
[0460] '28K55' bid: 270, type: OnePair
[0990] '26A5A' bid: 662, type: OnePair
[0122] '23A62' bid: 266, type: OnePair
[0059] '223K8' bid: 181, type: OnePair
[0267] 'JA3T5' bid: 781, type: OnePair
[0085] 'JT4QA' bid: 409, type: OnePair
[0606] 'J9TK2' bid: 737, type: OnePair
[0255] 'J9568' bid: 735, type: OnePair
[0910] 'J8AK3' bid: 161, type: OnePair
[0076] 'J6K8Q' bid: 329, type: OnePair
[0220] 'J39Q5' bid: 544, type: OnePair
[0097] 'J39T6' bid: 669, type: OnePair
[0537] 'J3892' bid: 550, type: OnePair
[0123] 'J2QK6' bid: 433, type: OnePair
[0401] 'J259T' bid: 927, type: OnePair
[0286] 'AK72Q' bid: 042, type: HighCard
[0962] 'AK562' bid: 510, type: HighCard
[0659] 'AQT54' bid: 972, type: HighCard
[0489] 'AQ746' bid: 371, type: HighCard
[0915] 'AT895' bid: 369, type: HighCard
[0313] 'AT382' bid: 749, type: HighCard
[0626] 'A9Q47' bid: 352, type: HighCard
[0365] 'A6K32' bid: 926, type: HighCard
[0856] 'A67TQ' bid: 990, type: HighCard
[0530] 'A65KT' bid: 410, type: HighCard
[0296] 'A63Q7' bid: 287, type: HighCard
[0982] 'A53K4' bid: 506, type: HighCard
[0505] 'A2637' bid: 503, type: HighCard
[0352] 'KQ436' bid: 263, type: HighCard
[0791] 'KT89A' bid: 271, type: HighCard
[0209] 'K9Q34' bid: 292, type: HighCard
[0217] 'K956A' bid: 223, type: HighCard
[0099] 'K8A4Q' bid: 659, type: HighCard
[0156] 'K642A' bid: 016, type: HighCard
[0351] 'K478Q' bid: 917, type: HighCard
[0734] 'K3T75' bid: 368, type: HighCard
[0672] 'K2T54' bid: 229, type: HighCard
[0176] 'K2458' bid: 022, type: HighCard
[0790] 'QAK45' bid: 365, type: HighCard
[0988] 'QA873' bid: 435, type: HighCard
[0590] 'Q9685' bid: 080, type: HighCard
[0160] 'Q7394' bid: 517, type: HighCard
[0502] 'Q635A' bid: 561, type: HighCard
[0479] 'Q5624' bid: 041, type: HighCard
[0041] 'Q3T45' bid: 675, type: HighCard
[0538] 'Q3648' bid: 036, type: HighCard
[0694] 'Q3592' bid: 649, type: HighCard
[0066] 'Q2TA7' bid: 513, type: HighCard
[0023] 'Q2486' bid: 814, type: HighCard
[0803] 'TK6Q9' bid: 801, type: HighCard
[0698] 'TQ94K' bid: 991, type: HighCard
[0343] 'TQ623' bid: 427, type: HighCard
[0454] 'T9346' bid: 356, type: HighCard
[0564] 'T7Q85' bid: 862, type: HighCard
[0737] 'T743K' bid: 417, type: HighCard
[0937] 'T6789' bid: 886, type: HighCard
[0306] 'T5KQ8' bid: 745, type: HighCard
[0847] 'T45Q8' bid: 306, type: HighCard
[0379] 'T3A89' bid: 625, type: HighCard
[0116] 'T3K95' bid: 614, type: HighCard
[0146] 'T3K48' bid: 288, type: HighCard
[0887] 'T397K' bid: 217, type: HighCard
[0527] 'T378Q' bid: 156, type: HighCard
[0600] 'T29Q8' bid: 753, type: HighCard
[0102] 'T28AK' bid: 706, type: HighCard
[0078] 'T25K6' bid: 106, type: HighCard
[0690] '9A624' bid: 611, type: HighCard
[0270] '9A425' bid: 952, type: HighCard
[0410] '9Q58A' bid: 366, type: HighCard
[0747] '98QTA' bid: 184, type: HighCard
[0865] '97345' bid: 947, type: HighCard
[0785] '958AK' bid: 230, type: HighCard
[0912] '9573K' bid: 674, type: HighCard
[0344] '9536K' bid: 630, type: HighCard
[0506] '8AT6K' bid: 382, type: HighCard
[0643] '8A3QK' bid: 812, type: HighCard
[0854] '89763' bid: 823, type: HighCard
[0931] '893K7' bid: 253, type: HighCard
[0143] '87524' bid: 098, type: HighCard
[0237] '86A74' bid: 723, type: HighCard
[0110] '8534K' bid: 693, type: HighCard
[0678] '8473A' bid: 627, type: HighCard
[0482] '83A64' bid: 653, type: HighCard
[0760] '827T9' bid: 583, type: HighCard
[0332] '7KAQ5' bid: 724, type: HighCard
[0206] '7KQ8T' bid: 888, type: HighCard
[0808] '7T426' bid: 127, type: HighCard
[0443] '79236' bid: 830, type: HighCard
[0456] '7856A' bid: 186, type: HighCard
[0594] '76K4T' bid: 360, type: HighCard
[0614] '76Q39' bid: 698, type: HighCard
[0709] '7692Q' bid: 516, type: HighCard
[0777] '72543' bid: 487, type: HighCard
[0823] '6A93Q' bid: 901, type: HighCard
[0524] '6KT75' bid: 474, type: HighCard
[0040] '6K58A' bid: 783, type: HighCard
[0291] '697A4' bid: 438, type: HighCard
[0200] '67Q25' bid: 374, type: HighCard
[0511] '6743A' bid: 376, type: HighCard
[0462] '67324' bid: 643, type: HighCard
[0653] '657T9' bid: 797, type: HighCard
[0485] '649KQ' bid: 702, type: HighCard
[0665] '63954' bid: 496, type: HighCard
[0062] '637AT' bid: 109, type: HighCard
[0440] '63582' bid: 511, type: HighCard
[0769] '5KT69' bid: 447, type: HighCard
[0782] '5K4Q9' bid: 043, type: HighCard
[0549] '5T78K' bid: 129, type: HighCard
[0539] '598K2' bid: 277, type: HighCard
[0425] '59628' bid: 777, type: HighCard
[0279] '57AQ4' bid: 880, type: HighCard
[0226] '574T8' bid: 811, type: HighCard
[0974] '56T28' bid: 752, type: HighCard
[0896] '54387' bid: 939, type: HighCard
[0090] '5376K' bid: 671, type: HighCard
[0525] '53462' bid: 046, type: HighCard
[0239] '4AQ9T' bid: 522, type: HighCard
[0822] '4KA6T' bid: 526, type: HighCard
[0359] '4QAT3' bid: 655, type: HighCard
[0711] '4Q835' bid: 050, type: HighCard
[0839] '49QK8' bid: 853, type: HighCard
[0199] '4736K' bid: 059, type: HighCard
[0842] '3Q64T' bid: 615, type: HighCard
[0800] '3T7Q4' bid: 240, type: HighCard
[0184] '395KQ' bid: 001, type: HighCard
[0418] '39427' bid: 694, type: HighCard
[0593] '3857Q' bid: 520, type: HighCard
[0667] '37A85' bid: 142, type: HighCard
[0261] '36AKT' bid: 616, type: HighCard
[0572] '3694A' bid: 523, type: HighCard
[0886] '35TQA' bid: 081, type: HighCard
[0280] '352Q4' bid: 640, type: HighCard
[0660] '3465T' bid: 377, type: HighCard
[0334] '3452K' bid: 452, type: HighCard
[0245] '2K6Q8' bid: 793, type: HighCard
[0271] '2Q83T' bid: 963, type: HighCard
[0970] '2TQA5' bid: 535, type: HighCard
[0130] '2T43Q' bid: 045, type: HighCard
[0753] '29TA7' bid: 347, type: HighCard
[0385] '27TQ8' bid: 005, type: HighCard
[0571] '2693A' bid: 800, type: HighCard
[0405] '26578' bid: 010, type: HighCard
[0668] '264A7' bid: 341, type: HighCard
[0186] '249K8' bid: 612, type: HighCard
[0161] '23K47' bid: 759, type: HighCard
[0671] '237AQ' bid: 157, type: HighCard
result: 246894760
Elapsed time: 0.073000 seconds
